id,text,question,A,B,C,D,E,correct
B2557,"Changes in impact Coastal erosion and changes in sedimentation pose severe risks to coastal infrastructure, property, economic activities and ecological systems, and adaptation calls for significant investment. There is a tendency towards increasing damage from coastal erosion in specific locations that severely affects coastal socioeconomic activities and properties (Gopalakrishnan and others, 2016; Nguyen and others, 2018 ; Stronkhorst and others, 2018). The projection for risk and damage associated with coastal erosion and changes in sedimentation indicates that they are likely to increase in the future (Dunn and others, 2019). Ecosystem impacts from coastal erosion and changes in sedimentation can be substantial, in particular if there is a transformation from long-term accretion to erosion. Coastal wetlands are at significant risk, as many of them were developed during the relative mean sea level standstill of the late Holocene (Jones and others, 2019) and may not keep up with the rising seas in the future (Myers and others, 2019). Other geomorphic features sensitive to changing patterns of erosion and sedimentation include mangrove coasts, barrier coasts and small islands. There is a high risk of ecological disturbance for organisms that exclusively use the coastal zone for nesting or nurseries, with increased proliferation of human-occupied and modified shorelines also reducing the overall bioproductivity of the coastal zone (Rangel-Buitrago and others, 2018b). Major socioeconomic impacts will occur at locations where erosion coincides with high population density. Existing problems have been identified adjacent to the Ganges, Mekong, Yellow, Yangtze, Volta and Mississippi river deltas. For other parts of the coast, the management of erosion hazards through the use of engineering interventions requires longterm commitments to maintenance, including the cost of upgrading coastal defensive works, with potential risk to human safety and livelihoods if defences are subject to decline. Local sea level rise and storminess vary significantly between regions. Based on long-term satellite data, wave height shows an overall global increase (Young and Ribal, 2019), but large regional differences are reported, from large changes in the Southern Ocean to negligible effects in the North Sea (De Winter and others, 2012). Such spatial variations are likely to result in regional variations in erosion and sedimentation (Brown and others, 2016).
 ","Where are major socioeconomic impacts mostly likely to occur?
 ","With the increased proliferation of human-occupied and modified coastlines, there is a high risk of ecological disturbance to organisms that exclusively use the coastal zone for nesting or nursery purposes, which also reduces the overall bioproductivity of the coastal zone.
 ","Major socioeconomic impacts will occur at locations where erosion coincides with high population density.
 ","There are a number of threats to human health from the marine environment that have already been identified, as an increase in the spread of climate warming related pathogens (e.g. Vibrio). In addition, there is some evidence related to the increase of some harmful algal species related to climate warming in some regions (Hinder and others, 2012; Vezzulli and others, 2016).
 ","Coastal wetlands, mangrove coasts, barrier coasts and small islands.
 ","Coastal areas
 ",Major socioeconomic impacts will occur at locations where erosion coincides with high population density.
A1838,"The feasibility of the construction of concrete platforms for deep water locations (130 m) offshore Brazil, was investigated. A large depth of water is not available near the coast in Brazil, and a construction method was devised to overcome this difficulty. The design incorporates storage tanks and is less costly than a steel structure.
 ","What difficulty the concrete offshore platform can overcome?
 ","Unavailability of large depth of water near the coast in Brazil.
 ","Brazil
 ","This can demonstrate the usefulness of bonded repairs in managing the integrity of offshore steel structure assets.
 ","The construction of new ships still remains very concentrated in China, Japan, and the Republic of Korea, which together represent 90 percent of all cargo ship construction activity
 ","Sub-Antarctic Platform Water, Tropical Water and Central Atlantic South Water
 ",Unavailability of large depth of water near the coast in Brazil.
A1607,"Meteorological data collected using ocean buoys are very important for weather forecasting. In addition, they provide valuable information on ocean–atmosphere interaction processes that have not yet been explored. Accordingly, data collection using ocean buoys is well established around the world. In Brazil, ocean buoy data are obtained by the Brazilian Navy through a monitoring network on the Brazilian coast, which has high potential for wind power generation. In this context, the present study aimed to analyze the scaling behavior of wind speed on the Brazilian coast (continental shelf), South Atlantic Ocean and coast of Africa in order to determine long-range correlations and acquire more information on the crossover phenomenon at various scales. For this purpose, the detrended fluctuation analysis technique and numerical simulation with the Weather Research and Forecasting mesoscale model were used. The results from buoys show that wind speed exhibits a scaling behavior, but without the crossover phenomenon in the Brazilian coast, South Atlantic Ocean and coast of Africa, indicating the dependence of the phenomenon by the terrestrial surface, suggesting influence on the wind power generation. Buoy data from the South Atlantic Ocean and coast Africa showed a subdiffusive behavior (α ≥ 1), whereas those from the Brazilian coast indicated persistence (0.5 < α < 1), except for the confluence region of Porto Seguro, which indicated anti-persistence (α = 0.48). The numerical simulations using the WRF mesoscale model showed a subdiffusive behavior on the Brazilian coast, and no persistence was reproduced in most coastal buoys. The findings support deeper understanding of the wind regime and its associated properties, with particular attention to the Brazilian continental shelf, suggesting that the methodology is useful for assessing the potential of offshore wind power generation.
 ","Which part of Brazil has a high potential for wind power generation?
 ","Brazilian Coast
 ","eastern Mediterranean, the east coast of South America and the west coast of Africa
 ","They would be able to extract oil from deeper wells on the ocean as well as farther from the coast
 ","Arctic Ocean, Atlantic Ocean, Indian Ocean and Pacific Ocean.
 ","It was impacted by both the wind and the changes in temperature of the sea surface resulting from this process.
 ",Brazilian Coast
A590,"Petrobras relies on a fleet of over 300 vessels to support the exploration and production of oil in Brazilian territorial waters. The fleet consists of vessels of various sizes, from Tug Supply vessels to Remotely Operated Vehicle (ROV) Support vessels. These support vessels are designed to aid E&P rigs in wide range of activities, from simple refueling units to specialized units responsible for oil well stimulation and seismic studies, diving vessels, ROV vessels, oil spill response vessels and anchor handling tug vessels. The entire fleet provides services to Petrobras through chartering contracts between shipping companies and Petrobras' operational sectors. In 2012 these vessels were involved in 95 recorded accidents that did not fall under the category of occupational accidents, such as crashes, collisions, chemical spills (including oil and oil denvates), floods, fires and strandings. Aiming to reduce the occurrence of these events, Petrobras has established a group, formed from the operational sectors of the Health, Safety and the Environment (HSE), to implant the concepts of safety within those shipping companies providing support services to Petrobras. The application of these concepts on support vessels has required some adjustment, primarily in the classification of accidents.
 ","How big is Petrobras' maritime fleet?
 ","Over 300 vessels.
 ","The floating production storage and offloading (FPSO) P-50 and P-34 vessels will raise nactional production of oil, making Brazil reach oil self-sufficiency.
 ","Petrobras
 ","Specialized vessels are equipped with a combination of air guns and other acoustic sources. The equipment also includes hydrophones attached to a set of cables towed behind the vessel.
 ","Through the correlation between these data.
 ",Over 300 vessels.
B2072,"There are a number of threats to human health arising from the marine environment that have now been identified: Increase in the spread of pathogens related to climate warming (e.g., Vibrio). Also, there is some evidence related to an increase in some harmful algal bloom species related to climate warming is some regions (Hinder and others, 2012; Vezzulli and others, 2016); Recently, non-indigenous species, sometimes called invasive alien species, have started to be considered as one of the major threats to global marine ecosystems through impacts on the ecosystems’ structure, function and services (Galil, 2018). A small number of poisonous or venomous marine non-indigenous species represent potential threats to human health. Intensification of anthropogenic activities, coupled with rapidly increasing coastal urbanization, drive complex and fundamental changes in coastal waters, including increases in alien species. Some of the alien venomous and poisonous species have attracted the attention of scientists, managers, the media and the public for their conspicuous human health impacts. In the Mediterranean alone, 10 non-indigenous species are considered human health hazards, running the gamut from nuisance to lethal (Galil, 2018). Human health hazards of non-indigenous species are expected to worsen as a result of climate change. The poleward influx of warm water biota enables them to spread to regions as yet uncolonized; A further, recently identified health threat is the potential role of plastic marine litter as a vector for opportunistic human pathogens and antibiotic-resistant microorganisms (Barboza and others, 2018; Harrison and others, 2018; Imran and others, 2019). Various pathogenic bacteria bind, in particular and strongly, to plastic litter (for example, Vibrio cholerae and some strains of Escherichia coli). Such human pathogens can colonize plastic surfaces in stable biofilms. The scientific and medical understanding of that health threat of plastic pollution is inadequate but the threat is dealt with as a further aspect of the problem of marine litter discussed in chapter 12. A severe problem could arise in areas that are highly polluted as a result of natural disasters, climate crises or occurring epidemics, or in conflict zones (Vethaak and Leslie, 2016; Keswani and others, 2016; Galloway and others, 2017; Leonard and others, 2018a, 2018b; Moore and others, 2014).
 ","What are the threats to human health from the marine environment?
 ","There are a number of threats to human health from the marine environment that have already been identified, as an increase in the spread of climate warming related pathogens (e.g. Vibrio). In addition, there is some evidence related to the increase of some harmful algal species related to climate warming in some regions (Hinder and others, 2012; Vezzulli and others, 2016).
 ","They represent a threat to human health, acting as vectors for pathogens
 ","Non-indigenous species are those that have overcome a natural dispersal barrier and become established in a biogeographical area outside their native range.
 ","It may result in an increased deposit of harmful materials and excess nutrients into the ocean, increased levels of sewage discharge and plastic materials, resulting in the creation of large quantities of marine debris and negative impacts to marine life, ocean aesthetic, and socioeconomic effects.
 ","Hg bioaccumulation and biomagnification processes may lead public health risks to the local human population due to the consumption of contaminated food items, such as crabs.
 ","There are a number of threats to human health from the marine environment that have already been identified, as an increase in the spread of climate warming related pathogens (e.g. Vibrio). In addition, there is some evidence related to the increase of some harmful algal species related to climate warming in some regions (Hinder and others, 2012; Vezzulli and others, 2016)."
A995,"Considering demands for internal Brazilian market and international crude oil trade, PETROBRAS has taken the decision to concentrate a significantly part of the future of crude oil production from three deep-water fields; Roncador, Marlim Sul and Marlim Leste, all of which are in Campos Basin, with one off-shore terminal. The name of this project is PDET. This project comprises of a fixed central pumping station, PRA-1, a large FSO (2,1 million barrels storage capacity), and two calm buoys systems, at a depth of 100 m. The start-up of this project involves the crude oil from three producing platform; P-52, P-51 and P-53, which are all currently under advanced construction. In the future PDET will receive the production of crude oil from two additional new platforms. Each producing platform will have its own export pipeline, direct to PRA-1. The peak production of this system will achieve 600,000 bbl/day. PRA-1 will have special requirements to pump crude oil either to FSO or to the calm buoys systems. Based on a steel jacket structure the capacity of power generation will be 75 MW, up to 34 inches pigging capacity and many diverse pipings. The FSO has special specifications such as the electrical power and optical swivels, both are at a high level of technology and capacity. To achieve system's targeted reliability extensive studies were done. Integrity protection system, leak detection system, offloading time, sub-sea layout and flow rates were taken into consideration. Environmental risks were fully mitigated. The final configuration, which achieved high standard integrity assurance, produced a valuable project. This paper describes the logistics of this project focusing PRA-1 pumping, the export system through calm buyos, sub-sea facilities and the FSO. Also it will be highlighted some management programs used to implement this project. This work reviewed the major aspects of implementing this important infrastructure offshore facility to transport crude oil. Several technical and managerial challenges were surpassed through introduction of new technologies, tools and techniques.
 ","What were the fields in which Petrobras chose to concentrate a significant part of the future of its crude oil production?
 ","According to Petrobrás, after an 11-year cycle in which the annual increase in crude oil production was, on average, 8.6%, production fell by 3% that year.
 ","Phase 0, which is focused on the collection of information, evaluation wells, initial production systems and a pilot project, and Phase 1, which encompasses the definitive production systems.
 ","The new mooring project was called Taut-Leg.
 ","The floating production storage and offloading (FPSO) P-50 and P-34 vessels will raise nactional production of oil, making Brazil reach oil self-sufficiency.
 ","Roncador, Marlim Sul and Marlim Leste.
 ","Roncador, Marlim Sul and Marlim Leste."
B2069,"The ecosystem approach is one of the most significant approaches to ocean management, consisting of the environmental, social and economic management of human interactions with oceans and coasts at multiple levels (transboundary, regional, national and local). While there is general agreement that the ecosystem approach provides an effective framing of ocean management, further research and capacity-building are needed to realize its full potential benefits across the oceans. Management has two different levels of governance, namely: decision-making processes that provide a framework for making decisions and implementing policy focused on the conservation and sustainable use of marine resources; and management tools (area-based and non-area-based) that can be used to regulate and modify human activity in a particular system. The implementation of the 2030 Agenda for Sustainable Development1 requires management grounded in the ecosystem approach in order to achieve the integrated set of global priorities and objectives set out in the Sustainable Development Goals. That will allow for the integration of interactions, benefits and trade-offs between the Goals and support the achievement of each of the ocean-related targets. There is a growing trend towards incorporating the cultural values of the ocean into management.
 ","What levels of governance exist within ocean management?
 ","Defining some zoning plans or more complex management systems and guidances and legal constraining to enforce management decisions
 ","The study involved the implementation of a model that estimates the risk of losing ecosystem services used by different stakeholder groups as a function of (1) the climate threat, (2) the value of the service defined by the stakeholder perception, and (3) the vulnerability of each group in relation to a possible service loss.
 ","The lack of uniformity and inefficient enforcement in the companies' process safety management systems (PSMS).
 ","It has established government agencies and has created an increasingly complex management to deal with the corporate environment in Brazilian waters.
 ","Decision-making processes and decision tools
 ",Decision-making processes and decision tools
A1927,"This study measured the wake effect in a Brazilian onshore windfarm with 38 turbines located in complex terrain. The proposed methodology calculated the wind deficit in 3 different metmasts, by comparing the measurement periods in free-of-wake condition to measurement periods under wake effect. Uncertainties due to wind variability and seasonality effects have been avoided by performing MCP (Measure Correlate Predict) procedures making use of a fourth metmast in free-of-wake condition during the entire concurrent period. This methodology is free of uncertainties from Nacelle anemometry, power curve measurements and micrositing models’ spatial extrapolation. The calculation of the wind deficits was performed per sector, confirming the adherence of the resulting wake effect to the turbine layout configuration. Higher wind deficits were identified in the sectors were turbines under operation are present in the upwind direction. The results were combined to the power curves from the turbines closest to the metmasts, using the data from the turbine supplier's technical specification. This allowed the identification of the respective power deficit due to the wake effect in these locations. The calculated wind- and power deficits were compared to the results of wake models used by two large international wind farms site assessment consultants (Coupled Eddy Viscosity and PARK), commonly accepted by banks for the financing of wind farms in Brazil. The results indicated that both models underestimate the effects in all 3 analyzed locations, with differences between the calculated and modeled power deficits higher than the respective uncertainties provided by both consultants. The two main limitations of this analysis lie in the restriction of the wake effect measurement to the metmasts locations, and in that the results are respective to the terrain conditions of the analyzed wind farm. However, this study indicates that commonly used wake models need to be further developed and calibrated for onshore wind farms. The literature shows that wake models developments are frequently directed to offshore wind farms, where wake effects play a significant role. Onshore wind farms are less studied, even though the global installed capacity greatly surpasses that of the offshore wind farms. Brazil has by the end of 2017 already 12.8 GW of installed capacity of wind power plants, and this number continues to increase steadily. With the continuous concentration of operating wind farms in regions of higher wind resource and transmission infrastructure, wake effects play a significant role in the sector. Bibliography shows that commonly used wake models tend to underestimate the energy losses due to this effect in offshore wind farms, making it important to study it also in onshore wind farms in complex terrain, which is the case of most Brazilian wind farms.
 ","What allowed the identification of power deficit due to the wake effect in turbine sectors?
 ","Combining the calculation of wind deficits per sector and the power curves from the turbines closest to the metmasts.
 ","It was impacted by both the wind and the changes in temperature of the sea surface resulting from this process.
 ","Wind, current and sea waves.
 ","This is effective in improving fatigue and adopting a slow wave configuration, instead of a simple catenary. SLWRs have been used successfully in Brazil, the Gulf of Mexico, the North Sea and Australia. However, it is probably the most computationally intensive aspect of it. Fatigue analysis requires a large number of load cases to be performed, in complex nonlinear models.
 ","The study involved the implementation of a model that estimates the risk of losing ecosystem services used by different stakeholder groups as a function of (1) the climate threat, (2) the value of the service defined by the stakeholder perception, and (3) the vulnerability of each group in relation to a possible service loss.
 ",Combining the calculation of wind deficits per sector and the power curves from the turbines closest to the metmasts.
A1433,"The North Brazil Shelf is a Large Marine Ecosystem (LME) that extends from the Caribbean Sea, in Central America, to the Parnaiba River in Brazil, and includes six countries. The area is dominated by the runoff of large rivers, including the Amazon and Orinoco, and by the intense disturbance of sediment transport, tides and currents. The sea bed is formed mainly by mud in shallow water, and by sand, mud, and gravel in deeper water. In terms of its biological productivity, this LME can be considered oligotrophic, with stratified habitats. The main source of nutrients of the euphotic layer is the local rivers and mangroves. Primary production has been limited by light and rising temperatures in recent years, factors associated with a decrease in marine primary productivity. However, the benthic fauna is very rich and unique, but poorly known. More than 500 fish species have been recorded in this LME. Demersal fish and shrimp are the main fishery resources in coastal and continental shelf waters. Fisheries account for more than 600 million USD a year with a considerable diversity of methods and scales ranging from very small to industrial. Seafood consumption is moderate to high in the local countries. Climate changes, dam building, deforestation, pollution, overfishing, tourism and aquaculture are the main threats to ecosystem productivity and habitat quality. Socioeconomic data are scant for this LME. Development is concentrated near the cities and mouths of rivers. Traditional communities in the coastal areas are culturally diverse, but invariably characterized by very low socioeconomic conditions. The Gross Domestic Product of the local countries ranges from 7,500 USD per capita in Guyana to 32,600 USD per capita in Trinidad and Tobago. Profound problems of governability are common to all six countries, and mean governance indicators reflect poor performances in all cases. The main issues are an absence of effective rule of law, political stability, and control of corruption. Fisheries are characterized by increasing effort and an absence of sustainability. Most of the fishery stocks are either fully or over exploited. This scenario can only be rectified by investments in marine protected areas and scientific research, as well as the increased participation of fishers in the development and implementation of management strategies and regulations.
 ","What are the main threats to the productivity of the ecosystem and the quality of the habitat of the Northern Platform of Brazil?
 ","Climate change, dam construction, deforestation, pollution, overfishing, tourism and aquaculture are the main threats to ecosystem productivity and habitat quality.
 ","The production is projected to continue to expand on all continents, with variations in the range of species and products across countries and regions
 ","This is effective in improving fatigue and adopting a slow wave configuration, instead of a simple catenary. SLWRs have been used successfully in Brazil, the Gulf of Mexico, the North Sea and Australia. However, it is probably the most computationally intensive aspect of it. Fatigue analysis requires a large number of load cases to be performed, in complex nonlinear models.
 ","The Brazilian government's concern with the use of marine resources and coastal areas emerged in this decade.
 ","It was impacted by both the wind and the changes in temperature of the sea surface resulting from this process.
 ","Climate change, dam construction, deforestation, pollution, overfishing, tourism and aquaculture are the main threats to ecosystem productivity and habitat quality."
B2213,"The ocean is strongly coupled with the atmosphere, mutually transferring substances (mostly gases), heat and momentum at its surface, forming a single coupled system. That system is influenced by the seasonal changes caused by the Earth’s tilted rotation with respect to the sun. Variations in sea-surface temperature among different parts of the ocean are important in creating winds, areas of high and low air pressure and storms (including the highly damaging hurricanes, typhoons and cyclones). In their turn, winds help to shape the surface currents of the ocean, which transport heat from the tropics towards the poles. The ocean surface water arriving in the cold polar regions partly freezes, rendering the remainder more saline and thus heavier. That more saline water sinks to the bottom and flows towards the equator, starting a return flow to the tropics: the meridional overturning circulation, also called the thermohaline circulation. A further overall forcing factor is the movements generated by the tidal system, predominantly driven by the gravitational effect of the moon and sun. The movements of seawater help to control the distribution of nutrients in the ocean. The ocean enjoys both a steady (and, in some places, excessive) input from land of inorganic nutrients needed for plant growth (especially nitrogen, phosphorus and their compounds, but also lesser amounts of other vital nutrients) and a continuous recycling of all the nutrients already in the ocean through biogeochemical processes, including bacterial action. Areas of upwelling, where nutrient-rich water is brought to the surface, are particularly important, because they result in a high level of primary production from photosynthesis by phytoplankton in the zone of light penetration, combining carbon from atmospheric carbon dioxide with the other nutrients, and releasing oxygen back into the atmosphere. Whether in the water column or when it sinks to the seabed, that primary production constitutes the basis on which the oceanic food web is built, through each successive layer up to the top predators (large fish, marine mammals, marine reptiles, seabirds and, through capture fisheries, humans). The distribution of living marine resources around the world is the outcome of that complex interplay of geological forms, ocean currents, nutrient fluxes, weather, seasons and sunlight. Not surprisingly, the resulting distribution of living resources reflects that complexity. Because some ocean areas have high levels of primary production, the density of living marine resources in those areas and the contiguous areas to which currents carry that production is also high. Some of those areas of dense living marine resources are also areas of high biological diversity. The general level of biological diversity in the ocean is also high. For example, just under half of the world’s animal phyla are found only in the ocean, compared to one single phylum found only on land. Human uses of the ocean are shaped not only by the complex patterns of the physical characteristics of the ocean, of its currents and of the distribution of marine life, but also by the terrestrial conditions that have influenced the locations of human settlements, by economic pressures and by the social rules that have developed to control human activities — including national legislation, the law of the sea, international agreements on particular human uses of the sea and broader international agreements that apply to both land and sea.
 ","Why are areas of upwelling in the ocean important?
 ","Because they help to release oxygen back into the atmosphere by a high level of primary production from photosynthesis by phytoplankton in the zone of light penetration
 ","Arctic Ocean, Atlantic Ocean, Indian Ocean and Pacific Ocean.
 ","It may result in an increased deposit of harmful materials and excess nutrients into the ocean, increased levels of sewage discharge and plastic materials, resulting in the creation of large quantities of marine debris and negative impacts to marine life, ocean aesthetic, and socioeconomic effects.
 ","The Brazilian government's concern with the use of marine resources and coastal areas emerged in this decade.
 ","It can lead to variations in the distribution of both oxygen and nutrients.
 ",Because they help to release oxygen back into the atmosphere by a high level of primary production from photosynthesis by phytoplankton in the zone of light penetration
A470,"This paper describes the history, challenges, solutions and evolution of the Floating Production Units in Brazil. The first floating unit was on stream in 1977 at Campos Basin in Brazil. It produced from a single well with a drilling riser and dry-X-tmas tree to a MODU converted into a floating production unit and exporting to a spread-moored shuttle-tanker by a floating hose. Now, more than 40 years later, over 2,400 meters of water depth at Santos Basin are moored several floating production and storage units (FPSOs). It houses over 40 thousand metric tons of complex topsides exploiting ultra-deep wells from the pre-salt prospects. Along the evolution of the FPSOs, one major stepping-stone was the implementation of lessons learned as a feedback to create a strong foundation. This paper will depict field demands and solutions adopted to deal with the differing climates and environments as well as other particularities to develop FPSOs in Brazil. To face the technological challenges to efficiently and safely produce from ultra-deep water complex pre-salt reservoirs required the consolidated use of the expertise and experience from past projects. Initially Petrobras was well known worldwide as a Semi-Submersible company, with a unique proficiency to develop converted Semi-submersibles and other new constructions. This expertise is still present to this day, but the company has since pioneered and consolidated the use of FPSOs worldwide, leading the industry in this concept. Petrobras led the industry effort to approve FPSO international standards, local regulations with agencies and regulatory bodies by the end of '80s to early '90s. This paper will focus on the evolution of this industry, highlighting the achievements, and address the new developments and opportunities for the future.
 ","When was the first Floating Production Unit in Brazil set on stream?
 ","A floating production, storage, and offloading vessel.
 ","A dry tree solution, because they have the advantage of direct access into reservoirs from the floaters. This allows the operators to drill, complete and workover the well directly from the same hosting unit.
 ","It was impacted by both the wind and the changes in temperature of the sea surface resulting from this process.
 ","To investigate the nature and the role played by the Piúma lineage in the tectonic evolution of the Mantiqueira Province and adjacent to the Campos Basin.
 ","1977
 ",1977
A1786,"Located in the Brazilian continental shelf, the so called ""Pre-Salt"" reservoirs with large accumulations of excellent quality, high commercial value light oil have become the most strategic oil production site for Brazil. One of the main challenges that has recently arisen concerns the definition of an adequate process to address the high concentration of carbon dioxide (CO2) presented in their geological formations. For the Pre-Salt basin, several options of offshore carbon dioxide storage have been studied, such as: aquifers, depleted reservoirs, and salt caverns. Although a mined offshore salt cavern has never been constructed, its adoption has been gaining momentum due to the mantle origin of CO2, the thickness of rock layer above the salt layer, and the lack of reservoirs below the carbonate reservoirs capable to store gases. Because of its unprecedent characteristics, the development of such facility implies a series of challenges in terms of safety and integrity aspects. Using tailored qualitative risk management tools, this paper explores the many aspects and interdependencies of well design, well clustering configuration, drilling, solution mining, CO2 disposal, and abandonment phases related to offshore salt caverns. The results obtained so far indicated that, technically, they are a feasible solution for Pre-Salt CO2 storage. However, economic and environmental viability strongly depends on well clustering configuration and solution mining process.
 ","What is the pre-salt reservoirs?
 ","More than half of Brazilian oil production originates from the Pre-Salt reservoirs of offshore basins.
 ","They are regions with large accumulations of excellent quality, high commercial value light oil.
 ","It is difficult to calculate the cost of developing fields under the salt layer in Brazil, but these may exceed those borne so far. If that layer becomes an object of commercial exploitation, that value could reach US $ 4,000 million or more.
 ","A dry tree solution, because they have the advantage of direct access into reservoirs from the floaters. This allows the operators to drill, complete and workover the well directly from the same hosting unit.
 ","The Pre-Salt section of Santos Basin, in the Brazilian offshore.
 ","They are regions with large accumulations of excellent quality, high commercial value light oil."
A1519,"The northeastern Brazilian continental shelf has a mixed carbonate-siliciclastic sedimentation system. This study applied statistical analysis on superficial sediments to access the conditions and controls of sedimentary distribution and processes along the outer shelf depositional environment. The total of 123 grabbed sediment samples were analyzed as mean grain size, standard deviation, skewness, and kurtosis. The outer shelf presented mean grain size ranging from very coarse sand to very fine sand. Standard deviation ranges from moderately sorted to very poorly sorted. Skewness ranges from strongly fine-skewed to strongly coarse-skewed. Kurtosis intervals range from very platykurtic to very leptokurtic. The bivariant analysis revealed correlations between the statistical parameters and sedimentary facies in three environments: outside the Açu reef (OAR), Açu inter-reef (AIR,) and in the Açu Incised Valley (AIV). The coarse sediments are poorly selected, showed positively skewed essentially, and had the lowest kurtosis values in bioclastic coarse sand of the OAR area related to, whereas medium to fine sands are siliciclastic and bioclastic, moderately sorted, positively skewed, and showed the highest values of kurtosis in the AIR and AIV. The kurtosis and skewness parameters evidenced the distinction between the three zones on the outer shelf. The results revealed the relationship of hydrodynamic regimes and shelf sedimentation with the in situ carbonate production and trapped relict siliciclastics.
 ","What best distinguishes the zones on the external platform?
 ","The kurtosis and skewness parameters evidenced the distinction between the three zones on the outer shelf. The results revealed the relationship of hydrodynamic regimes and shelf sedimentation with the in situ carbonate production and trapped relict siliciclastics.
 ","The basin covers an area of about 200,000 km, including the present coastal zone and continental shelf.
 ","They are black structures, very hard, have shell armor and fragments of coral, and vary in average size from 2 to 6 cm. The shape of most tar balls is spherical, but some can also be flat ellipsoids.
 ","The deposition of siliciclastic and carbonate facies in a shallow water platform environment.
 ","The drought resulted in a decrease of estuarine mean sediment particle size and concurrent changes in macrofaunal benthic assemblages during the driest months.
 ",The kurtosis and skewness parameters evidenced the distinction between the three zones on the outer shelf. The results revealed the relationship of hydrodynamic regimes and shelf sedimentation with the in situ carbonate production and trapped relict siliciclastics.
A1427,"In carbonate rock reservoirs, spatial distribution models and elastic properties are complex because of diagenetic processes and mineralogical composition, which together directly interfere with variations in pore shape and interconnectivity. The main objective of this paper is to propose a workflow to aid in three-dimensional quantitative carbonate reservoir characterization of the Quissamã Formation (Macaé Group) in the Pampo field of the Campos Basin, offshore Brazil. Model-based seismic inversion, sequential Gaussian simulation with cokriging for porosity modeling, and truncated Gaussian simulation with trend for facies modeling were used to characterize the carbonate reservoirs. Our results show that the carbonate platform is located between the upper Aptian and lower Albian seismic surfaces. Interpretation of a new surface, called the intra-Albian, was possible via acoustic-impedance (AI) analysis. Our workflow facilitated identification of low AI, high porosity, and best facies areas in structural highs where the most productive wells have been drilled. Facies modeling suggests that intercalation of facies with high and low porosities is connected to shallowing-upward cycles. Finally, several debris facies with low AI and high porosities were identified in an area that could be targeted for new exploration.
 ","What directly interfere with variations in pore shape and interconnectivity in carbonate rock reservoirs?
 ","The deposition of siliciclastic and carbonate facies in a shallow water platform environment.
 ","Because carbonate has a varied chemical composition and complex pore connectivity, as well as a large diversity of facies, each one showing a specific seismic response.
 ","It is connected to shallowing-upward cycles.
 ","Diagenetic processes and mineralogical composition.
 ","This is effective in improving fatigue and adopting a slow wave configuration, instead of a simple catenary. SLWRs have been used successfully in Brazil, the Gulf of Mexico, the North Sea and Australia. However, it is probably the most computationally intensive aspect of it. Fatigue analysis requires a large number of load cases to be performed, in complex nonlinear models.
 ",Diagenetic processes and mineralogical composition.
A862,"The increase of oil exploration and production in a given ocean area may put new requirements on the design of mooring systems for the floating units. It is necessary to simplify the underwater layout through the reduction of the lines horizontal span and to allow smaller distance between the production units. In this context the utilisation of taut-leg mooring system seems to be very attractive. The main object of the this paper is to present a comparison between taut-leg and conventional mooring systems in terms of total unit offset and horizontal span. It is presented, initially, the main lines of a synthesis procedure that the authors have developed to select the best configuration for the mooring system, in order to accelerate the search of the solution. In order to make the comparison between the taut-leg and the conventional mooring systems, the synthesis procedure is applied to PETROBRAS semisubmersible platforms SS-20 operating at a water depth varying from 600 to 1000 meters. The results obtained in the analysis show the great advantages of the taut-leg configuration with respect to the total offset and horizontal span.
 ","With the increase of oil exploration and production in ocean area new mooring systems arise for floating units. What was called the new mooring project that was applied to the Petrobras SS-20 platform?
 ","The new mooring project was called Taut-Leg.
 ","Actual lines properties and seabed bathymetry from mooring system models
 ","This is effective in improving fatigue and adopting a slow wave configuration, instead of a simple catenary. SLWRs have been used successfully in Brazil, the Gulf of Mexico, the North Sea and Australia. However, it is probably the most computationally intensive aspect of it. Fatigue analysis requires a large number of load cases to be performed, in complex nonlinear models.
 ","The global market and naval industry incapacity to meet the demand of the growing exploration activities, related to the recent discovery of new oil fields, in addition to the fact that they are located at a large distance from the shore (approximately 300km) and the environmental conditions being severe.
 ","A dry tree solution, because they have the advantage of direct access into reservoirs from the floaters. This allows the operators to drill, complete and workover the well directly from the same hosting unit.
 ",The new mooring project was called Taut-Leg.
A989,"Albacora, a giant field located under water depths ranging from 230m to 1,900m, in Campos Basin, offshore Brazil, has an estimated oil-in-place volume of 4.4 billion bbl and extends over an area of 235 km2. The development plan conceived for this field has been divided into three phases, which the first one is a cost-effective pilot production system, which has started field production in October, 1987. This paper describes many alternatives under study by PETROBRAS for installation of the second phase of the field exploitation. Water depths of the wellheads at this phase will reach 1,166m and the start-up is expected to occur in 1994, with a peak production of nearly 200,000 bopd in 1996. The alternatives differ basically in parameters such as the type (semi-submersible,compliant tower, jacket), quantity, size and location of the production units, the type and configuration of the subsea systems, the type of the production and export risers (rigid, semi-rigid or flexible) and also the level of the infra-structure integration. An economical analysis ends the paper and shows that Phase II, besides of performing a pioneer conception at world level, is also a cost-effective production system.
 ","Where is the Albacora field located?
 ","A cost-effective pilot production system.
 ","Phase 0, which is focused on the collection of information, evaluation wells, initial production systems and a pilot project, and Phase 1, which encompasses the definitive production systems.
 ","At 16 production wells at the Albacora Leste field in Campos basin.
 ","200,000 bopd.
 ","In Campos Basin, in offshore Brazil.
 ","In Campos Basin, in offshore Brazil."
