id_qa,corpus,question_en_origin,question_pt_origin,question_en_paraphase,question_pt_paraphase,answer_en_origin,answer_pt_origin,answer_en_validate,answer_pt_validate,eid_article_scopus,text_excerpts_un_reports,question_generic,answer_in_text,answer_difficulty,question_meaningful,answer_equivalent,question_type
A1953,1,What is ANOVA used for?,Para quê é usada a ANOVA?,Why ANOVA is used in the study of zooplankton samples?,Porque a ANOVA é utilizada no estudo de amostras de zooplânctons?,"","","","",2-s2.0-84883765292,"",true,true,4,2,4, What
A154,1," What is unveiled by the geological model?
",O que foi revelado pelo modelo geológico?,What was made known by the emerging geological model?,O que foi descoberto pelo modelo geológico emergente?,"","","","",2-s2.0-85077945350,"",true,true,1,1,5, What
A170,1,What should be the cause of the expressive increases in wave heights with climate change?,Qual deverá ser a causa dos aumentos expressivos na altura das ondas com as mudanças climáticas?,"The expressive increase in wave heights , with climate change, is due to which factors?","O aumento expressivo na altura das ondas, com as mudanças climáticas, é ocasionada por quais fatores?","","","","",2-s2.0-85098204648,"",false,true,2,3,2, What
A173,1,What are the impacts of shipyards on estuarine environments?,Quais são os impactos dos estaleiros nos ambientes estuarinos?,What the shipyards can cause a estuarine environments?,O que os estaleiros podem causar aos ambientes estuarinos?,"","","","",2-s2.0-85101107313,"",false,true,2,5,2, What
A177,1,What are depth maps and bottom geomorphology used for?,Para que são usados os mapas representando profundidade e geomorfologia de fundo?,What's the use of depth maps and bottom geomorphology?,Qual é o uso de mapas de profundidade e a geomorfologia?,"","","","",2-s2.0-85009177497,"",false,true,5,4,2, Why
A192,1,What kind of modifications on estuarine inlet morphology can climate change induce?,Que tipo de modificações na morfologia das enseadas estuarinas as mudanças climáticas podem induzir?,The climate changes may induce  modifications on the estuarine inlet morphology. What kind of modification?,As mudanças climáticas podem induzir mudanças na morfologia das enseadas estuarinas. Que tipo de mudança?,"","","","",2-s2.0-85074715540,"",true,true,1,3,1, What
A203,1,Where to find Amphisbaena pretrei?,Onde encontrar Amphisbaena pretrei?,At which Brazilian region can Amphisbaena pretrei be found?,Em que região brasileira pode ser encontrada a Amphisbaena pretrei?,"","","","",2-s2.0-85088029712,"",true,true,2,2,5, Where
A206,1,Where is the Paraná Basin located?,Onde está localizada a Bacia do Paraná?,Paraná Basin is located where?,A Bacia do Paraná fica localizada onde?,"","","","",2-s2.0-85037355639,"",true,true,1,1,5, Where
A210,1,Which is the richest Brazilian Late Cretaceous palynological continental record?,Qual é o mais rico registro palinológico continental do Cretáceo Superior brasileiro?,"Amongst the many Bazilian Late Cretaceous palynological continental records, which is the richest to ever be recorded?","Dentre os muitos registros palinológicos continentais do Cretáceo Superior brasileiro, qual é o mais rico já registrado? ","","","","",2-s2.0-85037355639,"",false,true,5,5,1, What
A236,1,What are some of the difficulties found in drilling rock salt?,Quais são algumas dificuldades encontradas em perfurar o pré-sal?,What can be difficult in the drilling rock salt process?,O que pode ser uma dificuldade no processo de perfuração do pré-sal?,"","","","",2-s2.0-84856741449,"",false,true,5,5,2, What
A244,1," In Brazil, where are the oil fields located?","
No Brasil, onde estão localizados os campos de petróleo?",Where are offshore oil fields being developed?,Onde os campos de petróleo offshore estão sendo desenvolvidos?,"","","","",2-s2.0-85055027692,"",true,false,5,1,1, Where
A247,1,Where is the gas pipeline that Petrobras wants to create?,Onde que fica o gasoduto que a Petrobras deseja criar ?,What is the location of the gas pipeline that Petrobras wants to build?,Qual a localização do gasoduto que a Petrobras deseja construir?,"","","","",2-s2.0-85050561554,"",true,true,1,2,2, Where
A253,1,"In 2014, Petrobras planned to spend e $224 billion with what?","Em 2014, a Petrobras planejava gastar e $ 224 bilhões com o quê?",What did Petrobras BR want to spend $224 billion on by 2014?,Em que a Petrobras BR queria gastar US $ 224 bilhões até 2014?,"","","","",2-s2.0-84857305090,"",false,true,3,5,2, What
A267,1,What is the objective of the new acquisition and development of technology of PRAVAP (Petrobras' strategic project for reservoir characterization)?,Qual é o objetivo da nova aquisição e desenvolvimento de tecnologia da PRAVAP (Petrobras' strategic project for reservoir characterization)?,"What is the purpose of acquiring and developing new PRAVAP (Petrobras' strategic project for reservoir characterization) technology?
","
Qual o propósito de adquirir e desenvolver a nova tecnologia do PRAVAP (Projeto Estratégico da Petrobras para a Caracterização de Reservatórios)?","","","","",2-s2.0-84940864746,"",false,false,3,5,1, What
A284,1,What do the offshore oil and gas industry regulators try to protect?,o que os reguladores  de offshores de gás e petróleo tentam proteger?,What do the gas industry and offshore oil regulators attempt to secure?,O que os reguladores da indústria de gás e petróleo no mar buscam defender?,"","","","",2-s2.0-85028278319,"",true,true,1,2,5, What
A285,1,Where will this new technology be applied to know the impact of the characterization of the reserve on oil exploration?,Onde será aplicada essa nova tecnologia para saber o impacto da caracterização do reservatorio na exploração de petróleo?,What is the target location to apply the new PRAVAP 2 technology?,"Qual é o local alvo para aplicar a nova tecnologia PRAVAP 2?
","","","","",2-s2.0-84940864746,"",true,false,2,3,2, Where
A300,1,What does Petrobras want to make with the deep water oil and gas reserves?,O que a Petrobras quer fazer com as reservas de óleo e gás marítimas?,What does Petrobras intend to do with offshore oil and gas reserves?,O que a Petrobras pretende fazer com as reservas de óleo e gás marítimas?,"","","","",2-s2.0-17144436283,"",true,false,1,1,1, Who
A301,1," What was the expected variance, in cubic meters, of the extraction of gas done by Petrobras in the Manati field, located in the Camamu-Almada basin, in 2006?","Qual foi a variância esperada, em metros cúbicos, da extração de gás feita pela Petrobrás no campo de Manati, localizado na bacia de Camamu-Almada, no ano de 2006?","After investments by the Petrobras company in the Manati field, Camamu-Almada basin, what is the expectation of daily gas extraction per cubic meter in January 2006? ","Após investimentos por parte da empresa Petrobrás no campo de Manati, bacia de Camamu-Almada, qual a expectativa de extração de gás diária por metro cúbico em janeiro de 2006?","","","","",2-s2.0-17044389842,"",true,false,1,1,1, None of the above
A307,1,What was the Tegua system in Guanabara Bay created for?,Para que o sistema Tegua na Baía de Guanabara foi criado?,What will the Tegua system be useful for?,Qual é a utilidade do sistema Tegua?,"","","","",2-s2.0-14928592,"",false,true,5,5,1, Why
A315,1,How is the torpedo anchor installed on the seabed?,Como a âncora torpedo é instalada no fundo do mar?,How is the installation of the torpedo anchor on the seabed done?,Como é feita a instalação da âncora torpedo no fundo do mar?,"","","","",2-s2.0-85094168812,"",false,true,3,4,2, How
A354,1,How can Águas Rasas Norte Project expand its aplication to other areas of study?,Como o Projeto Águas Rasas Norte pode expandir sua aplicação para outras áreas de estudo?,"","","","","","",2-s2.0-84893361208,"",false,true,5,4,2, How
A359,1,What led Brazil to distance itself from self-sufficiency in oil production until 2005?,O que levou o Brasil a se distanciar da autossuficiência na produção de petróleo até 2005?,What made Brazil not reach self-sufficiency in oil production until 2005?,O que fez com que o Brasil não alcançasse a autossuficiência na produção de petróleo até 2005?,"","","","",2-s2.0-32444448833,"",false,true,3,2,3, What
A363,1,What was the first oil field discovered in Brazil?,Qual foi o primeiro campo de petróleo descoberto no Brasil?,What was Brazil's first discovered oil field?,Qual era o nome do primeiro campo petrolífero descoberto no Brasil?,"","","","",2-s2.0-24769642,"",false,true,1,5,1, What
A370,1,Where is well 8MLS-67HA-RJS located?,Onde se localiza o poço 8MLS-67HA-RJS?,"","","","","","",2-s2.0-18944382016,"",false,true,1,2,5, Where
A385,1," How is it associated with variations in seasonal metal concentrations in shipyards on the Brazilian coast?
","Como se associa às variações de concentrações sazonais de metais em estaleiros da costa brasileira?
",What are the factors that influence seasonal metal concentrations variations in Brazilian coast shipyards? ,"Quais são os fatores que influenciam as variações de concentrações sazonais de metais em estaleiros da costa brasileira?
","","","","",2-s2.0-85101107313,"",false,true,1,2,1, How
A386,1," Which of the concentrations of labile fractions (Cr, Ni and V) represents less damage to biodiversity due to the desorption of surface sediments in resuspension events?
","Das concentrações de fração lábil (Cr, Ni e V), qual representa um menor dano à biodiversidade por conta da dessorção de sedimentos superficiais em eventos de ressuspensão?","","","","","","",2-s2.0-85101107313,"",true,true,2,2,5, Who
A392,1,What is the leading oil company in deep and ultra-deep water technology?,Qual é a empresa petrolífera líder em tecnologia em águas profundas e ultraprofundas?,"","","","","","",2-s2.0-84955127995,"",true,true,1,2,5, What
A397,1,What resources would be an important issue for the commercial feasibility of the heavy oil area?,Quais recursos seriam uma questão importante para a viabilidade comercial da área de óleo pesado?,Which resources make a significant contribution to commercial feasibility in the heavy oil sector?,Quais recursos teriam uma contribuição significante na exequibilidade comercial  no setor de óleo pesado?,"","","","",2-s2.0-85056110569,"",false,true,3,3,1, What
A400,1,How was the procedure for repairing composite materials performed on FPSOs platforms?,"Como foi realizado o procedimento de reparo dos materiais compósitos nas plataformas FPSOs?
",What was the process for repairing composite materials performed on FPSOs platforms?,Qual foi o processo de reparo de materiais compostos realizado nas plataformas FPSOs?,"","","","",2-s2.0-77955408815,"",false,true,4,5,1, How
A401,1," How can a successful repair test on composite materials be useful?
","Como um teste de reparos bem-sucedido nos materiais compósitos pode ser útil?
","","","","","","",2-s2.0-77955408815,"",false,true,5,4,1, How
A415,1,What is the largest Brazilian oil region?,Qual a maior região brasileira de petróleo ?,Which one is the biggest Brazilian oil zone?,Qual é a maior zona petrolífera brasileira?,"","","","",2-s2.0-33295123,"",false,true,1,2,4, What
A417,1," What causes the deep water flow to be complex?
","O que faz com que os fluxos marítimos sejam complexos?
",Because of the different layers of countercurrents associated with the rich structure of water bodies in this region.,Por causa das diferentes camadas de contra-correntes associadas à rica estrutura de massas de água nesta região.,"","","","",2-s2.0-33295123,"",false,true,2,2,4, What
A418,1,When was Cherne II jacket launched?,Quando a subestrutura de Cherne II foi lançada?,What is the launch date of the Cherne II substructure?,Qual a data de lançamento da subestrutura de Cherne II?,"","","","",2-s2.0-20736039,"",true,true,1,1,5, When
A433,1,"Since 1975, how can foreign oil companies explore Brazilian oil?","Desde 1975, como companhias de petróleo estrangeiras podem explorar petróleo no Brasil?","","","","","","",2-s2.0-24769642,"",false,true,3,2,3, None of the above
A435,1,What species of catfishes lives in the Amazon Coastal Zone?,"Que espécies de peixe-gato vivem na Zona Costeira Amazônica?
",The professor asked what species of catfishes lives in the Amazon Coastal Zone,O professor perguntou que espécies de peixe-gato vivem na Zona Costeira Amazônica,"","","","",2-s2.0-84949666942,"",false,true,3,3,1, What
A438,1,What kind of catfishes can be found in Brazil?,Que tipos de peixe-gato podem ser encontrado no Brasil?,What species of catfishes live in Brazil?,Quais espécies de peixe-gato vivem no Brazil?,"","","","",2-s2.0-84949666942,"",true,false,3,2,2, What
A441,1,What is the company and the place where the research will be carried out?,Qual é a empresa e o lugar onde a pesquisa será realizada?,"","","","","","",2-s2.0-21575939,"",true,true,1,2,5, What
A536,1,"Apart from Riser, what other monitoring systems are installed?","Fora a Riser, quais outros sistemas de monitoramento foram instalados?","What other monitoring systems are installed, except for the Riser?",Que outros sistemas de monitoramento foram instalados com excessão do Riser?,"","","","",2-s2.0-344309110,"",false,true,2,5,1, What
A469,1,What are the functions for which the floating vessel chartered by Guara BV is responsible?,Quais são as funções pelas quais o navio flutuante afretado pela Guara BV é responsável?,What are the functions of the floating ship related to oil and natural gas extraction?,Quais as funções do navio flutuante relacionadas à extração de petróleo e gás natural?,"","","","",2-s2.0-84889840418,"",true,true,3,2,1, What
A471,1,Where was the first floating unit of production set on stream in Brazil?,Onde foi colocada em operação a primeira unidade flutuante de armazenamento e transferência do Brasil?,Where in Brazil was the first floating storage and transfer unit put into operation?,A primeira unidade flutuante de armazenamento e transferência foi colocado em operação em que local do Brasil?,"","","","",2-s2.0-85086248840,"",true,true,1,2,2, Where
A476,1,What caused the delay in the construction of tubes in the Espírito Santo basin that would connect the southeast and northeast regions?,O que ocasionou o atraso da construção de tubos na bacia do Espirito Santo que ligariam a região sudeste e nordeste?,Why is the Vitoria-Cacimbas gas pipeline causing delay in the Peroa-Cangoa gasfields construction in the Espirito Santo basin?,Por que o gasoduto Vitoria-Cacimbas está causando atraso na construção dos campos de gás Peroa-Cangoa na bacia do Espírito Santo?,"","","","",2-s2.0-33749265496,"",false,true,4,5,1, What
A481,1,How is the gas produced during offshore oil drilling actually disposed?,Como os gases produzidos durante a exploração do petróleo no mar são atualmente descartados?,In wich way is the gas produced during offshore oil drilling actually disposed,De que maneira os gases produzidos durante a exploração do petróleo no mar são descartados?,"","","","",2-s2.0-78650855754,"",false,true,4,5,1, How
A628,1,What was the first floating unit in brazil?,Qual foi a primeira unidade flutuante do Brasil?,"In Brazil, the first floating unit was wich?","No Brasil, a primeira unidade flutuante foi qual? ","","","","",2-s2.0-85086248840,"",true,true,1,1,3, What
A488,1,What is the indicative that Brazil remains a big draw among E&P firms?,Qual indicativo que o Brasil continua sendo uma grande aposta entre firmas E&P?,What indicates that Brazil keeps being an E&P firms high interest?,O que indica a remanescência do Brasil entre os grandes interesses das firmas E&P?,"","","","",2-s2.0-34686357,"",false,true,3,5,1, What
A494,1,"For decreasing the flaring of the gas produced at oil drilling offshore, what process is proposed?","Para reduzir o queima dos gases produzidos na exploração de petróleo no mar, que processo é proposto?",What is the recommended process for decreasing the flairing of gas produced at oil drilling offshore?,Qual é o processo recomendado para diminuir a queima do gás produzido na exploração de petróleo no mar?,"","","","",2-s2.0-78650855754,"",false,true,3,5,2, What
A502,1,In what month of 2016 is the production of the platform expected to start?,Para que mês de 2016 está previsto o início da produção da plataforma?,In which month is the production of guara BV's oil rig expected to begin in the Santos basin?,Em qual mês está previsto o início da produção da plataforma de petróleo da Guara BV na bacia de Santos?,"","","","",2-s2.0-84889840418,"",true,true,3,2,1, When
A505,1,What is the description of the SBMS-500 system?,Qual é a descrição do sistema SBMS-500?,what function does the SBMS-500 system has?,Qual função o sistema SBMS-500 possui?,"","","","",2-s2.0-31206995,"",false,true,1,3,1, What
A507,1,What is the advantage of performing water on deck simulations?,Qual é a vantagem de realizar simulações de água no convés?,What advantage performing water on deck simulations produce?,Qual vantagem realizar simulações de água no convés produz?,"","","","",2-s2.0-85085780309,"",true,true,3,2,1, What
A508,1,Who developed the  SBMS-500 prototype?,Quem desenvolveu o protótipo SBMS-500?,Who created the SBMS-500 prototype?,Quem criou o protótipo do SBMS-500?,"","","","",2-s2.0-31206995,"",true,true,1,2,5, Who
A509,1,How does Brazil look to reach oil self-sufficiency?,De que forma o Brasil busca alcançar a autossuficiência em petróleo?,What types of vessels has Brazil been using to increase oil production to the point where the country exceeds domestic needs? ,Quais os tipos de embarcações que o Brasil vem utilizando para aumentar a produção de petróleo a ponto do país superar as necessidades domésticas?,"","","","",2-s2.0-33646452775,"",false,true,3,5,1, How
A511,1,What factors harm the structure and functioning of the Brazilian coastal zone?,Quais fatores prejudicam a estrutura e o funcionamento da zona costeira brasileira?,What elements weaken the structure and functioning of the Brazilian coastal ecosystem?,Quais elementos enfraquecem a estrutura e o funcionamento do ecossistema costal brasileiro?,"","","","",2-s2.0-85103489384,"",true,true,1,2,5, What
A520,1,What are the elements that provide an adequate habitat for the Brazilian coastal zone?,Quais são os elementos que provém um habitat adequado para a zona costeira brasileira?,"","","","","","",2-s2.0-85103489384,"",true,true,3,1,1, What
A525,1,What is the estimated oil processing capacity of the P-50 ship?,Qual a capacidade estimada de processamento de petróleo do navio P-50?,"","","","","","",2-s2.0-33646452775,"",true,false,1,2,1, What
A532,1,Why has the search for alternative energy sources led the scientific community to the oceans?,Por que fontes alternativas de energia tem levado a comunidade científica aos oceanos?,Why has the scientific community been focusing on the oceans for alternative energy sources?,Por que a comunidade científica tem focado nos oceanos por fontes alternativas de energia?,"","","","",2-s2.0-85089654013,"",false,true,4,5,2, Why
A534,1,What is the objective of the PROPES - Petrobras' Heavy Oil Technological Program?,Qual é o objetivo do PROPES - Programa Tecnológico de Óleos Pesados da Petrobrás?,PROPES - Petrobras' Heavy Oil Technological Program has what goal?,PROPES - Programa Tecnológico de Óleos Pesados da Petrobrás tem qual meta?,"","","","",2-s2.0-85056110569,"",false,true,4,5,2, What
A537,1,What is the purpose of all the monitoring systems presented?,Qual a finalidade de todos os sistemas de monitoramento apresentados?,What is the purpose of installing monitoring systems in the P-18 semi-submersible platform?,Qual a finalidade da instalação de sistemas de monitoramento na plataforma semissubmersível P-18?,"","","","",2-s2.0-344309110,"",true,true,3,3,1, What
A539,1,What is the contract Acergy did in this fields of exploration?,Qual é o contrato feito pela Acergy nesses campos de exploração?,What was the contract that Acergy recently won for Petrobras?,Qual foi o contrato que a Acergy recentemente ganhou para a Petrobras?,"","","","",2-s2.0-78649387727,"",false,true,3,5,2, What
A542,1,Why are the Deunffia and Domasia genera silurian acritarchs of the Pitinga Formation so important as guide-fossils?,Por que os acritarcas silurianos dos gêneros Deunffia e Domasia da Formação Pitinga são tão importantes como fósseis-guia?,What is the importance of the Silurian acritarchs of the Deunffia and Domasia genera of the Pitinga Formation?,Qual a importância dos  acritarcas silurianos dos gêneros Deunffia e Domasia da Formação Pitinga?,"","","","",2-s2.0-85047354188,"",false,true,5,5,2, Why
A544,1,What is discussed other than the E&P used in Brazil for deepwater drilling?,O que é discutido além do E&P usado no Brasil para perfuração em águas profundas?,"In addition to the E&P utilized in Brazil for deepwater drilling, what else is discussed?","Em adição ao E&P utilizado no Brasil para perfuração em águas profundas, o que mais é discutido?","","","","",2-s2.0-242694501,"",true,true,2,1,5, What
A549,1," Whose history and development is showcased on ""BRAZIL FURTHERS ITS LEADERSHIP IN DEEPWATER E&P""?","De quem é a história e desenvolvimento que são apresentados no ""BRAZIL FURTHERS ITS LEADERSHIP IN DEEPWATER E&P""?","which company has it's history presented in the arcticle ""BRAZIL FURTHERS ITS LEADERSHIP IN DEEPWATER E&P""?","Qual empresa tem sua história exibida no artigo ""BRAZIL FURTHERS ITS LEADERSHIP IN DEEPWATER E&P""?","","","","",2-s2.0-242694501,"",true,true,1,2,4, Who
A562,1,What is Petrobras's SAASS?,O que é o SAASS da Petrobras?,"","","","","","",2-s2.0-85061823653,"",false,true,2,4,2, What
A576,1,What is the contribution of the Campos Basin to Petrobras' oil production?,Qual a contribuição da Bacia de Campos na produção de petróleo da Petrobrás?,"the Campos Basin in Petrobrás' oil production contributed with what?
",a Bacia de Campos na produção de petróleo da Petrobrás contribuiu com o que?,"","","","",2-s2.0-84887507211,"",true,true,4,3,1, What
A578,1,How long is the Campos Basin in Km2?,Qual a extensão da Bacia de Campos em Km2?,"The Campos Basin, located in Rio de Janeiro, is what size in km2?","A Bacia de Campos, localizada no Rio de Janeiro, tem qual tamanho em km2? ","","","","",2-s2.0-84887507211,"",true,false,1,1,5, How
A581,1,Why is Brazil entering the era of decommissioning in the field of oil exploration?,Por que o Brasil está entrando na era de descomissionamento no âmbito de exploração de petróleo?,Why is Brazil starting a decommissioning phase in relation to oil grinding?,Por que o Brasil está iniciando uma fase de desmantelamento em relação ao esmerilamento do petróleo?,"","","","",2-s2.0-85085774498,"",false,true,4,3,1, Why
A589,1,Did the provisional Garoupa early production system that Petrobras implemented after the collapse of the production tower at Campo de Garoupa manage to manipulate how many barrels of oil per day until the permanent system was completed?,O sistema provisório de produção antecipada de Garoupa que a Petrobrás implementou após o desabamento da torre de produção no Campo de Garoupa conseguiu manipular quantos barris de óleo por dia de petróleo por dia até que o sistema permanente estivesse concluído?,"","","","","","",2-s2.0-19586421,"",false,true,4,2,4, None of the above
A591,1,What will Petrobras and its partners do with the CO2 produced in Pre-salt oil extraction?,O que a Petrobras e seus parceiros farão com o CO2 produzido na extração de petróleo no pré-sal?,How Petrobras and its partners are going to deal with the CO2 produced from the Pre-salt oil extraction?,Como a Petrobras e seus parceiros vão lidar com o CO2 produzido na extração de petróleo no pré-sal?,"","","","",2-s2.0-79955374293,"",false,true,2,5,2, What
A600,1,"With the inclusion of the Manati field, the state of Bahia produces how many cubic meters of gas per day?","Com a inclusão do campo de Manati, o estado da Bahia  produz quantos metros cúbicos de gás por dia?",How many  cubic meters per day the state of Bahia is producing after the inclusion of the Manati field?,Quantos metros cubicos por dia o estado da Bahia está produzindo depois da inclusão do campo de Manati?,"","","","",2-s2.0-17044389842,"",true,false,5,5,1, How
A610,1,What made Petrobras decide to implement optical sensing technology in all of its new wells?,O que fez a Petrobras decidir implementar tecnologia de sensoriamento óptico em todos os seus novos poços?,Why has Petrobras decided to include light sensing technology in all of its new wells?,Por que a Petrobras decidiu incluir a tecnologia de sensoriamento óptico em cada novo poço?,"","","","",2-s2.0-84857324711,"",false,true,4,4,2, What
A617,1,How does Petrobras use the output information from TUBFLEX?,O que a Petrobras faz com a informação gerada pelo TUBFLEX?,"With the results provided by TUBFLEX, how does Petrobras proceed? ","Com os resultados fornecidos pelo TUBFLEX, como a Petrobras procede?","","","","",2-s2.0-85057883234,"",false,false,4,5,2, How
A619,1,Why is the coastal zone important to discuss vulnerability and strategies to climate changes?,Por que a zona costeira é importante para discutir vulnerabilidade e estratégias a mudanças climáticas?,What are the reasons that make the coastal zone important to discuss vulnerability and strategies for climate changes?,Quais os motivos que fazem da zona costeira importante para discutir vulnerabilidade e estratégias para mudanças climáticas.,"","","","",2-s2.0-85103489384,"",true,true,4,5,1, Why
A620,1,What units did Petrobras utilize in Marlim Field's development?,Que unidades a Petrobras utilizou no desenvolvimento dos Campos de Marlim?,"In Marlim Field's development, Petrobras utilize what units?","No desenvolvimento dos Campos de Marlim, quais unidades a Petrobras utilizou?","","","","",2-s2.0-33295407,"",true,false,2,4,1, What
A621,1,What discovery was made by Petrobras in early 2001?,Qual foi a descoberta feita pela Petrobras no início de 2001?,"In early 2001, Petrobras made a discovery. What was this discovery?","No início de 2001, a Petrobras fez uma descoberta. Que descoberta foi essa?","","","","",2-s2.0-36768397,"",true,false,1,2,4, What
A630,1,What are FPSOs?,O Que são os FPSOs?,What the initials FPSO stands for?,O que as iniciais FPSO significam?,"","","","",2-s2.0-85086248840,"",false,false,3,4,2, What
A640,1,What was the objective of the pioneer intervention on the Garoupa field?,Qual foi o objetivo da intervenção pioneira no campo Garoupa?,"","","","","","",2-s2.0-80052571318,"",false,true,3,5,1, What
A743,1," In addition to the Camamu-Almada basin, what region does Petrobras plan to extract gas from?","Além da bacia de Camamu-Almada, de qual região a Petrobras planeja extrair gás?",Which field in the Camamu-Almada basin was destined the Petrobras investment in the northeastern state of Bahia in 2010 for gas extraction? ,Em qual campo da Bacia de Camamu-Almada foi destinado o investimento da Petrobras no nordeste da Bahia em 2010 para extração de gás?,"","","","",2-s2.0-17044389842,"",true,true,2,3,1, Where
A659,1,Where is Brazilian exploration mainly concentrated?,Onde a exploração brasileira se concentra principalmente?,"","","","","","",2-s2.0-68649086917,"",true,false,1,1,1, Where
A679,1,Why doesn't Brazilian conditions suit the project well?,Por que as condições brasileiras não são uma boa opção para o projeto?,Why doesn't Brazilian weather conditions suit in the dimensional study for Brazilian FPSO?,Por que as condições climáticas brasileiras não se adequam ao estudo dimensional para o FPSO brasileiro?,"","","","",2-s2.0-27744595461,"",true,true,5,3,1, Why
A680,1,What was evaluated in Campos Basin?,O que foi avaliado na Bacia de Campos?,What was evaluated using the Campos Basin's real premises ?,O que foi avaliado utilizando as instalações reais da Bacia de Campos?,"","","","",2-s2.0-27744595461,"",false,true,4,4,2, What
A681,1,What is the reason for the construction of the Petrobras Operations Center?,Qual o motivo da construção do Centro de Operações da Petrobras?,The Petrobras Operations Center was constructed because of what?,O Centro de Operações da Petrobras foi construído por quê?,"","","","",2-s2.0-85095967333,"",false,true,4,5,2, What
A683,1,How did the Petrobras Operations Center come about?,Como surgiu o Centro de Operações da Petrobras?,What is the purpose of Petrobras Operations Center,Qual é o propósito do centro de operações da Petrobras?,"","","","",2-s2.0-85095967333,"",false,true,5,5,2, How
A689,1," Sevan Marine will manage which platform at the John Wood Group unit? 
",A Sevan Marine irá gerenciar qual plataforma da unidade do John Wood Group?,"","","","","","",2-s2.0-26244445255,"",true,true,1,2,5, None of the above
