id,question,prompt,correct_choice,gpt_selected_choice,is_right
A1117,"How far offshore is the reservoir found by Petrobras on Campos basin containing an estimate of 0.6 billion bbl of heavy oil?
 ","Answer the following question with the correct alternative. GIVE ONLY THE CORRECT LETTER. Question: How far offshore is the reservoir found by Petrobras on Campos basin containing an estimate of 0.6 billion bbl of heavy oil?
  A: The discovery was made in 1996.
  B: About 80 km offshore
  C: It has from 230m to 1900m and volume of 4.4 billion bbl
  D: Petrobras.
  E: 1996
 ",B,B,1
A1123,"What were the main R&D efforts on wellbore construction hydraulics in challenging scenarios?
 ","Answer the following question with the correct alternative. GIVE ONLY THE CORRECT LETTER. Question: What were the main R&D efforts on wellbore construction hydraulics in challenging scenarios?
  A: Deep and ultra deepwater exploratory campaigns, inclined, horizontal and complex trajectory development wells, extended reach wells, long horizontal section wells and drilling through sensitive formations (heavy oil reservoirs, salt zones and fractured carbonates).
  B: The development of the subsalt oil reserves
  C: Laboratory research, development of an utilization plan, assignment of a drilling well, and drilling testing.
  D: PETROBRÁS, a Brazilian oil company, has been drilling wells in ever deeper horizons, reaching up to 18,000 feet (5,500 m).
  E: They are generally higher than those found in other Brazilian fields.
 ",A,A,1
A1129,"Where the vessel Skandi Aker have its target operation ?
 ","Answer the following question with the correct alternative. GIVE ONLY THE CORRECT LETTER. Question: Where the vessel Skandi Aker have its target operation ?
  A: Is targeted primarily at the deepwater
  B: A subsea deepwater well installation was carried out in the well 8-MLS-67HA-RJS in a water depth of 1180 m in the MarlimSul field, about 100 Km offshore Campos (Campos Basin), Rio de Janeiro State, Brazil.
  C: Laboratory research, development of an utilization plan, assignment of a drilling well, and drilling testing.
  D: The estimated rate is 10% per year.
  E: It has caused a significant growth in the orders of exploration and production platforms, drilling rigs and various types of support vessels, and in the construction of new shipyards or the expansion and modernization of existing ones.
 ",A,B,0
A1132,"What are the causes of the lack of precision on estimating the correct weight of the mud?
 ","Answer the following question with the correct alternative. GIVE ONLY THE CORRECT LETTER. Question: What are the causes of the lack of precision on estimating the correct weight of the mud?
  A: Several operational problems, currently related to high nonproductive times.
  B: It is used to convert the pressure and formation signals into curves, so that technicians there may analyze and learn about.
  C: To do this test it is necessary to use safety equipment that is placed inside an explosion preventer, the BOP, in order to keep the well under control
  D: Water-based mud mixed with gas inflow
  E: Separating and reinjecting part of the produced water, causing the remaining fluid to rise to the platform and the wells to operate at higher potentials
 ",A,D,0
A1137,"Where was the first onshore all-electric intelligent completion installation in?
 ","Answer the following question with the correct alternative. GIVE ONLY THE CORRECT LETTER. Question: Where was the first onshore all-electric intelligent completion installation in?
  A: A subsea deepwater well installation was carried out in the well 8-MLS-67HA-RJS in a water depth of 1180 m in the MarlimSul field, about 100 Km offshore Campos (Campos Basin), Rio de Janeiro State, Brazil.
  B: The first floating unit from Brazil was on stream in 1977 at Campos Basin.
  C: the name of the technology is PROCAP-3000
  D: This is effective in improving fatigue and adopting a slow wave configuration, instead of a simple catenary. SLWRs have been used successfully in Brazil, the Gulf of Mexico, the North Sea and Australia. However, it is probably the most computationally intensive aspect of it. Fatigue analysis requires a large number of load cases to be performed, in complex nonlinear models.
  E: To do this test it is necessary to use safety equipment that is placed inside an explosion preventer, the BOP, in order to keep the well under control
 ",A,A,1
A1140,"Besides the results of the studies generate a better identification of the Oligocene / Miocene limit, they also generated new insights about which events?
 ","Answer the following question with the correct alternative. GIVE ONLY THE CORRECT LETTER. Question: Besides the results of the studies generate a better identification of the Oligocene / Miocene limit, they also generated new insights about which events?
  A: Calcareous plankton events across the OligoceneMiocene
  B: The Campos basin.
  C: In Campos Basin.
  D: Particularly over the Atlantic Ocean (e.g., the North Atlantic Oscillation, the Atlantic Meridional Mode, and the Atlantic Meridional Overturning Circulation), and the extratropical modes that occur in both hemispheres.
  E: It has caused a significant growth in the orders of exploration and production platforms, drilling rigs and various types of support vessels, and in the construction of new shipyards or the expansion and modernization of existing ones.
 ",A,A,1
A1158,"What does this article cover?
 ","Answer the following question with the correct alternative. GIVE ONLY THE CORRECT LETTER. Question: What does this article cover?
  A: How national production may or may not leverage its business and promote the sustainable growth of the national shipbuilding industry.
  B: It has caused a significant growth in the orders of exploration and production platforms, drilling rigs and various types of support vessels, and in the construction of new shipyards or the expansion and modernization of existing ones.
  C: The shipyards.
  D: Domestic terminals.
  E: Due to the use of antifouling paints and petroleum products, shipyards may release trace metals that may remain in their bioavailable or labile form.
 ",A,B,0
A1162,"With what technology is it possible to increase oil production?
 ","Answer the following question with the correct alternative. GIVE ONLY THE CORRECT LETTER. Question: With what technology is it possible to increase oil production?
  A: Tronic, Reda, Pirelli, Lasalle, Sade-Vigesa and Cooper.
  B: It could be achieved with the use of submersible electric pumps (ESP)
  C: They are generally higher than those found in other Brazilian fields.
  D: October/1994.
  E: In high water depths.
 ",B,B,1
A1168,"What are the results of the methods in the recovery of the oil spill near the Barigui River?
 ","Answer the following question with the correct alternative. GIVE ONLY THE CORRECT LETTER. Question: What are the results of the methods in the recovery of the oil spill near the Barigui River?
  A: The trenches seem to have removed most of the free product from the sector adjacent to the spill site, and the swamp treatment has managed to restore its vegetation.
  B: SAASS is an autonomous system for the acquisition of submarine signals. It was developed to meet the needs of an acoustic monitoring program of Petrobras.
  C: The autonomous system for the acquisition of submarine signals is an acoustic recorder developed to meet the needs of an acoustic monitoring program in oceans.
  D: The first floating unit from Brazil was on stream in 1977 at Campos Basin.
  E: This is effective in improving fatigue and adopting a slow wave configuration, instead of a simple catenary. SLWRs have been used successfully in Brazil, the Gulf of Mexico, the North Sea and Australia. However, it is probably the most computationally intensive aspect of it. Fatigue analysis requires a large number of load cases to be performed, in complex nonlinear models.
 ",A,A,1
A1172,"Why the upwelling phenomenon occurs in the north coast of the Rio de Janeiro State?
 ","Answer the following question with the correct alternative. GIVE ONLY THE CORRECT LETTER. Question: Why the upwelling phenomenon occurs in the north coast of the Rio de Janeiro State?
  A: This is effective in improving fatigue and adopting a slow wave configuration, instead of a simple catenary. SLWRs have been used successfully in Brazil, the Gulf of Mexico, the North Sea and Australia. However, it is probably the most computationally intensive aspect of it. Fatigue analysis requires a large number of load cases to be performed, in complex nonlinear models.
  B: The phenomenon occurs due to constant northeast winds.
  C: It was possible to characterize three distinct palynofacies, of which the palynofacies had the best characteristics for quality and preservation of organic matter.
  D: The BG Group data were released before the fourth quarter results were presented.
  E: That the changes will be designed in a way to maintain the interest of foreign investors in the country.
 ",B,B: The phenomenon occurs due to constant northeast winds.,0
A1186,"Where can we find salt rocks like halite, carnallite and tachyhydrite?
 ","Answer the following question with the correct alternative. GIVE ONLY THE CORRECT LETTER. Question: Where can we find salt rocks like halite, carnallite and tachyhydrite?
  A: In the Santos basin off Brazil
  B: Laboratory research, development of an utilization plan, assignment of a drilling well, and drilling testing.
  C: Conventional ultrasound-based waves cannot generate proper signal levels and penetrate thick-walled casing commonly used in deepwater well completions.
  D: Several operational problems, currently related to high nonproductive times.
  E: It has caused a significant growth in the orders of exploration and production platforms, drilling rigs and various types of support vessels, and in the construction of new shipyards or the expansion and modernization of existing ones.
 ",A,A: In the Santos basin off Brazil.,0
A1194,"What are the tests performed for the simulation?
 ","Answer the following question with the correct alternative. GIVE ONLY THE CORRECT LETTER. Question: What are the tests performed for the simulation?
  A: The BG Group data were released before the fourth quarter results were presented.
  B: A subsea deepwater well installation was carried out in the well 8-MLS-67HA-RJS in a water depth of 1180 m in the MarlimSul field, about 100 Km offshore Campos (Campos Basin), Rio de Janeiro State, Brazil.
  C: They were analyzed based on data from 28 wells drilled by Petrobras.
  D: The provisional system used the seabed pipeline, meter, loading tower and a processing vessel from the original production system.
  E: Calibration test and validation test
 ",E,E,1
A1198,"What Petrobras had to do to maintain the pace of development of Brazil's offshore oil resources?
 ","Answer the following question with the correct alternative. GIVE ONLY THE CORRECT LETTER. Question: What Petrobras had to do to maintain the pace of development of Brazil's offshore oil resources?
  A: They had to increase the budget by 63%.
  B: The development of the subsalt oil reserves
  C: It has caused a significant growth in the orders of exploration and production platforms, drilling rigs and various types of support vessels, and in the construction of new shipyards or the expansion and modernization of existing ones.
  D: It is a solution for the sand production problems associated with the production of hydrocarbons from sandstone reservoirs
  E: Due to the depth of its reservoirs.
 ",A,B,0
A1204,"Why was there a change in the extratopic climate?
 ","Answer the following question with the correct alternative. GIVE ONLY THE CORRECT LETTER. Question: Why was there a change in the extratopic climate?
  A: Because there was destruction of stratospheric ozone over Antarctica
  B: The by-catch of seabirds and the depletion of their prey caused by fishing.
  C: In the Santos basin off Brazil
  D: PETROBRÁS, a Brazilian oil company, has been drilling wells in ever deeper horizons, reaching up to 18,000 feet (5,500 m).
  E: That the changes will be designed in a way to maintain the interest of foreign investors in the country.
 ",A,A,1
A1238,"Despite being an unproven technology, what is said to be an alternative to the natural gas production volume close to 2.5 MTPA?
 ","Answer the following question with the correct alternative. GIVE ONLY THE CORRECT LETTER. Question: Despite being an unproven technology, what is said to be an alternative to the natural gas production volume close to 2.5 MTPA?
  A: oil and natural gas
  B: Floating Liquefied Natural Gas (FLNG).
  C: the name of the technology is PROCAP-3000
  D: A solution for sand production problems.
  E: The state's gas production will be increased to 11 million cu m/day of gas.
 ",B,B,1
A1241,"What species the study referenced in length-length (LLR) relationships?
 ","Answer the following question with the correct alternative. GIVE ONLY THE CORRECT LETTER. Question: What species the study referenced in length-length (LLR) relationships?
  A: Gobiesox barbatulus, Bathygobius geminatus, Labrisomus nuchipinnis, Malacoctenus delalandii, Lutjanus alexandrei
  B: The extinction of herbivorous fish and excessive nutrients from sewage and agriculture
  C: A reduction in number of species from the equator to the poles.
  D: The BG Group data were released before the fourth quarter results were presented.
  E: These information and thematic maps can aid government agencies in delineating extractive and fishery exclusion areas, thus contributing to the management plan for this species.
 ",A,A,1
A1262,"Which aspects were treated about the Zeuxo coralensis  Anatanais ohlini?
 ","Answer the following question with the correct alternative. GIVE ONLY THE CORRECT LETTER. Question: Which aspects were treated about the Zeuxo coralensis  Anatanais ohlini?
  A: The description of postmarsupial stages, relationship between female body length and number of eggs contained in ovisacs and seasonal distribution of the sexes.
  B: The first floating unit from Brazil was on stream in 1977 at Campos Basin.
  C: This is effective in improving fatigue and adopting a slow wave configuration, instead of a simple catenary. SLWRs have been used successfully in Brazil, the Gulf of Mexico, the North Sea and Australia. However, it is probably the most computationally intensive aspect of it. Fatigue analysis requires a large number of load cases to be performed, in complex nonlinear models.
  D: A reduction in number of species from the equator to the poles.
  E: It can undermine biodiversity, endanger more vulnerable human populations, threaten food security and other important socioeconomic aspects
 ",A,A,1
A1270,"What was the conclusion about the study of the curved jetties that was to be implemented at the port of Santos?
 ","Answer the following question with the correct alternative. GIVE ONLY THE CORRECT LETTER. Question: What was the conclusion about the study of the curved jetties that was to be implemented at the port of Santos?
  A: the jettie's layout from this study could maintain the access channel's depth with a much lower volume of dredging than the current system.
  B: Due to the depth of its reservoirs.
  C: Dredging causes variations in physical parameters such as salinity, current speed and concentration of suspended sediments. When the dredging ceases, the channel silts up quickly, and after a period of 60 days, the variations stabilize.
  D: That the changes will be designed in a way to maintain the interest of foreign investors in the country.
  E: The trenches seem to have removed most of the free product from the sector adjacent to the spill site, and the swamp treatment has managed to restore its vegetation.
 ",A,A,1
A1273,"Where was the first FORAM Stress Index applyed outside of Mediterranean waters?
 ","Answer the following question with the correct alternative. GIVE ONLY THE CORRECT LETTER. Question: Where was the first FORAM Stress Index applyed outside of Mediterranean waters?
  A: In the Tamandaré open embayment, in Northeast Brazil
  B: Summer.
  C: Investigate the link between the prevailing regional specific oceanographic conditions (upwelling events, intrusion of cold and nutrient-rich water, low river input) and the nature and distribution of organic matter (OM) in the basin.
  D: They are generally higher than those found in other Brazilian fields.
  E: A variety of options exist to deal with critical levels of marine litter, some of which include approaches to address the issue, while understanding that not all are applicable to or supported by every country and some do not consider adverse impacts: the reduction of plastic consumption; support for eco-design and innovation (especially research into end-of-life plastic issues and alternatives); resource efficiency and better management of waste and water; long-term, efficient and viable recycling targets for municipal waste, packaging and plastic waste; greater use of policy instruments and control measures, including incentives, taxes and other regulatory measures, such as bans or extended producer responsibility schemes; and the adoption of remanufacturing initiatives and the coordination of policy investments in the waste sector. There is also a need for tight regulation and supervision of global waste trading, especially scrap plastic.
 ",A,A,1
A1294,"What are the main techniques that can be used to highlight the major primary diagenetic and hydrothermal features of the Pre-Salt?
 ","Answer the following question with the correct alternative. GIVE ONLY THE CORRECT LETTER. Question: What are the main techniques that can be used to highlight the major primary diagenetic and hydrothermal features of the Pre-Salt?
  A: The hydrothermal alterations had strong impact on the porosity, permeability, and heterogeneity, contributing, together with the associated fracturing, to the excellent production performance of the Pre-Salt reservoirs.
  B: In a series of lacustrine rift basins that formed along the Brazilian Continental Margin.
  C: Petrography, cathodoluminescence, scanning electron microscopy, microprobe and X-ray diffraction can be performed.
  D: A lacustrine carbonate reservoir.
  E: Floating production and storage units (FPSOs) are structures that house more than 40 thousand metric tons of oil with a complex structure, exploring ultra-deep wells in the pre-salt prospect.
 ",C,C,1
A1295,"What is the kind of Pre-salt deposits?
 ","Answer the following question with the correct alternative. GIVE ONLY THE CORRECT LETTER. Question: What is the kind of Pre-salt deposits?
  A: The hydrothermal alterations had strong impact on the porosity, permeability, and heterogeneity, contributing, together with the associated fracturing, to the excellent production performance of the Pre-Salt reservoirs.
  B: In a series of lacustrine rift basins that formed along the Brazilian Continental Margin.
  C: Petrography, cathodoluminescence, scanning electron microscopy, microprobe and X-ray diffraction can be performed.
  D: A lacustrine carbonate reservoir.
  E: Floating production and storage units (FPSOs) are structures that house more than 40 thousand metric tons of oil with a complex structure, exploring ultra-deep wells in the pre-salt prospect.
 ",D,B,0
A1298,"What is the main use of mangrove mapped areas to government?
 ","Answer the following question with the correct alternative. GIVE ONLY THE CORRECT LETTER. Question: What is the main use of mangrove mapped areas to government?
  A: These information and thematic maps can aid government agencies in delineating extractive and fishery exclusion areas, thus contributing to the management plan for this species.
  B: Many projections estimate the loss of all commercial fisheries by the middle of the century, but this information is unreliable.
  C: At locations where erosion coincides with high population density.
  D: A variety of options exist to deal with critical levels of marine litter, some of which include approaches to address the issue, while understanding that not all are applicable to or supported by every country and some do not consider adverse impacts: the reduction of plastic consumption; support for eco-design and innovation (especially research into end-of-life plastic issues and alternatives); resource efficiency and better management of waste and water; long-term, efficient and viable recycling targets for municipal waste, packaging and plastic waste; greater use of policy instruments and control measures, including incentives, taxes and other regulatory measures, such as bans or extended producer responsibility schemes; and the adoption of remanufacturing initiatives and the coordination of policy investments in the waste sector. There is also a need for tight regulation and supervision of global waste trading, especially scrap plastic.
  E: A group related to recharge zones; a group formed by groundwater with high Cl/Br ratio; a group formed low Cl/Br ratio, and high Cl; and a group composed by groundwater with high salinity, high Cl
 ",A,A,1
A1329,"How are the effects of global climate change manifesting in the oceans and coastal areas?
 ","Answer the following question with the correct alternative. GIVE ONLY THE CORRECT LETTER. Question: How are the effects of global climate change manifesting in the oceans and coastal areas?
  A: In coastal environments it affects its configuration and restricts ecosystem services that produce benefits for nature and society.
  B: Changes in people and economies, governance structures and the effects of climate change on maritime industries and the environment.
  C: Shed light on the effects of climate and oceanographic variability on sediment input and accumulation in a less-studied portion of the Brazilian shelf
  D: Climate change is expected to result in expressive increases in wave heights.
  E: To guarantee the quality of coastal population life and the protection of ecosystems resources.
 ",A,A,1
A1350,"What can provide refuge against ocean acidification effects?
 ","Answer the following question with the correct alternative. GIVE ONLY THE CORRECT LETTER. Question: What can provide refuge against ocean acidification effects?
  A: The metabolic interactions between calcifying and non-calcifying organisms.
  B: Seawater chemistry, global/local stressors and species-specific physiologies.
  C: Because of the increasing seawater temperature.
  D: The greenhouse effect.
  E: A reduction in number of species from the equator to the poles.
 ",A,A: The metabolic interactions between calcifying and non-calcifying organisms.,0
A1355,"Which agents can change the effect of ocean acidification and warming on the physiology of calcifying algae?
 ","Answer the following question with the correct alternative. GIVE ONLY THE CORRECT LETTER. Question: Which agents can change the effect of ocean acidification and warming on the physiology of calcifying algae?
  A: The metabolic interactions between calcifying and non-calcifying organisms.
  B: Seawater chemistry, global/local stressors and species-specific physiologies.
  C: Because of the increasing seawater temperature.
  D: The greenhouse effect.
  E: A reduction in number of species from the equator to the poles.
 ",B,B,1
A1378,"What production optimization have been trialed to enhance flowline lift?
 ","Answer the following question with the correct alternative. GIVE ONLY THE CORRECT LETTER. Question: What production optimization have been trialed to enhance flowline lift?
  A: Caisson foam management.
  B: The methods are gas lift, electrical submersible pump, hydraulic jet pump, progressing cavity pump, multiphase pump, subsea separation system.
  C: Heavy and high viscosity oil
  D: A reduction in number of species from the equator to the poles.
  E: That there are no easy fields to be developed remain undiscovered, especially in offshore environments
 ",A,B,0
A1386,"Which of the most important large-scale variability could BESM-OA2.5 reproduce?
 ","Answer the following question with the correct alternative. GIVE ONLY THE CORRECT LETTER. Question: Which of the most important large-scale variability could BESM-OA2.5 reproduce?
  A: Particularly over the Atlantic Ocean (e.g., the North Atlantic Oscillation, the Atlantic Meridional Mode, and the Atlantic Meridional Overturning Circulation), and the extratropical modes that occur in both hemispheres.
  B: Shed light on the effects of climate and oceanographic variability on sediment input and accumulation in a less-studied portion of the Brazilian shelf
  C: Changes in people and economies, governance structures and the effects of climate change on maritime industries and the environment.
  D: Climate change is expected to result in expressive increases in wave heights.
  E: An aptiana volcanic activity in the South Atlantic
 ",A,A,1
A1393,"What was considered to evaluate the model's capacity?
 ","Answer the following question with the correct alternative. GIVE ONLY THE CORRECT LETTER. Question: What was considered to evaluate the model's capacity?
  A: We consider an estuary region in Brazil to evaluate the models capabilities
  B: In high water depths.
  C: It had at least a slight benefit, allowing for better water quality after sedimentation.
  D: A subsea deepwater well installation was carried out in the well 8-MLS-67HA-RJS in a water depth of 1180 m in the MarlimSul field, about 100 Km offshore Campos (Campos Basin), Rio de Janeiro State, Brazil.
  E: The quality of the wind and its spatial resolution are highly correlated with the quality of the model's output.
 ",A,A,1
A1394,"Where is Petrobras evaluating a potential pre-salt reservoir?
 ","Answer the following question with the correct alternative. GIVE ONLY THE CORRECT LETTER. Question: Where is Petrobras evaluating a potential pre-salt reservoir?
  A: Santos basin presalt reservoirs offshore Brazil
  B: In projects developed in the Gulf of Mexico.
  C: Because of the large regional thicknesses and continuity of rock salt overlying the presalt reservoirs.
  D: It is a solution for the sand production problems associated with the production of hydrocarbons from sandstone reservoirs
  E: Deep and ultra deepwater exploratory campaigns, inclined, horizontal and complex trajectory development wells, extended reach wells, long horizontal section wells and drilling through sensitive formations (heavy oil reservoirs, salt zones and fractured carbonates).
 ",A,A,1
A1395,"What was the purpose of the Campos Basin analysis?
 ","Answer the following question with the correct alternative. GIVE ONLY THE CORRECT LETTER. Question: What was the purpose of the Campos Basin analysis?
  A: Investigate the link between the prevailing regional specific oceanographic conditions (upwelling events, intrusion of cold and nutrient-rich water, low river input) and the nature and distribution of organic matter (OM) in the basin.
  B: Shed light on the effects of climate and oceanographic variability on sediment input and accumulation in a less-studied portion of the Brazilian shelf
  C: The first floating unit from Brazil was on stream in 1977 at Campos Basin.
  D: The probable reason is due to the central geographical position of the Tavares River in Ubatuba, which crosses a large portion of the city and receives a great amount of sewage.
  E: They were analyzed based on data from 28 wells drilled by Petrobras.
 ",A,A,1
A1399,"Which primary strategy to oil spills originated by exploitation is defined by environmental laws in Brazil?
 ","Answer the following question with the correct alternative. GIVE ONLY THE CORRECT LETTER. Question: Which primary strategy to oil spills originated by exploitation is defined by environmental laws in Brazil?
  A: To do this test it is necessary to use safety equipment that is placed inside an explosion preventer, the BOP, in order to keep the well under control
  B: It has caused a significant growth in the orders of exploration and production platforms, drilling rigs and various types of support vessels, and in the construction of new shipyards or the expansion and modernization of existing ones.
  C: This is effective in improving fatigue and adopting a slow wave configuration, instead of a simple catenary. SLWRs have been used successfully in Brazil, the Gulf of Mexico, the North Sea and Australia. However, it is probably the most computationally intensive aspect of it. Fatigue analysis requires a large number of load cases to be performed, in complex nonlinear models.
  D: That the changes will be designed in a way to maintain the interest of foreign investors in the country.
  E: Oil containment and collection
 ",E,E,1
A1414,"Where is the Jandaíra Formation?
 ","Answer the following question with the correct alternative. GIVE ONLY THE CORRECT LETTER. Question: Where is the Jandaíra Formation?
  A: At the Potiguar Basin, in the northeastern of Brazil
  B: We consider an estuary region in Brazil to evaluate the models capabilities
  C: In a series of lacustrine rift basins that formed along the Brazilian Continental Margin.
  D: It is used to convert the pressure and formation signals into curves, so that technicians there may analyze and learn about.
  E: A lacustrine carbonate reservoir.
 ",A,C,0
A1416,"Which kind of resource of the crusts is marine mining interested in?
 ","Answer the following question with the correct alternative. GIVE ONLY THE CORRECT LETTER. Question: Which kind of resource of the crusts is marine mining interested in?
  A: The autonomous system for the acquisition of submarine signals is an acoustic recorder developed to meet the needs of an acoustic monitoring program in oceans.
  B: A variety of options exist to deal with critical levels of marine litter, some of which include approaches to address the issue, while understanding that not all are applicable to or supported by every country and some do not consider adverse impacts: the reduction of plastic consumption; support for eco-design and innovation (especially research into end-of-life plastic issues and alternatives); resource efficiency and better management of waste and water; long-term, efficient and viable recycling targets for municipal waste, packaging and plastic waste; greater use of policy instruments and control measures, including incentives, taxes and other regulatory measures, such as bans or extended producer responsibility schemes; and the adoption of remanufacturing initiatives and the coordination of policy investments in the waste sector. There is also a need for tight regulation and supervision of global waste trading, especially scrap plastic.
  C: SAASS is an autonomous system for the acquisition of submarine signals. It was developed to meet the needs of an acoustic monitoring program of Petrobras.
  D: The other monitoring systems are the oceanographic buoy and acoustic Doppler current profiles
  E: The large variety of metals that can be found in it
 ",E,E,1
A1453,"Nowadays considering the profile of oil production in Brazil, how much do the wells that use the artificial elevation technique contribute to national oil production?
 ","Answer the following question with the correct alternative. GIVE ONLY THE CORRECT LETTER. Question: Nowadays considering the profile of oil production in Brazil, how much do the wells that use the artificial elevation technique contribute to national oil production?
  A: Wells raised with gas are responsible for 30% of monthly production.
  B: The state's gas production will be increased to 11 million cu m/day of gas.
  C: oil and natural gas
  D: In order to expand the local gas networks, boost oil and gas output, and improve refining capabilities.
  E: It is a solution for the sand production problems associated with the production of hydrocarbons from sandstone reservoirs
 ",A,E,0
